10.1186/s13021-015-0039-0
10.1186/s13012-015-0265-6
10.1016/j.geoforum.2018.05.024
10.1080/00036840600707340
10.1386/stap.32.3.347_1
10.1177/1032373206065864
10.1002/fut.10085
10.1111/j.1467-8683.2005.00468.x
10.1111/j.1540-6296.2007.00116.x
10.1016/j.accfor.2008.07.003
10.1016/j.psychres.2012.03.008
10.1016/j.psychres.2012.03.046
10.1016/j.psychres.2012.07.030
10.1016/j.psychres.2012.06.008
10.1016/j.jcorpfin.2022.102319
